host	C1	C19	P15	P20	P21	dapc1.grp	PCA.pc.1	PCA.pc.2	PCA.pc.3	PCA.pc.4	PCA.pc.5	phenotype
G188	R	R	S	R	S	1	-3.11014282799867	-0.335006076711054	-0.05951770557513	-1.11695962660753	0.629718299412079	RRR
G216	R	R	S	R	S	3	6.55956585988047	1.76104861153947	0.0539690293840649	0.484939547233054	0.225584861033555	RRR
G230	R	R	S	R	S	1	-3.42064475357675	-4.47599036098984	-0.309815956995542	1.31705299421138	0.257245385748352	RRR
G236	R	R	S	R	S	1	-3.04338408501209	0.1899470009867	0.118283959797836	-0.734785139926994	-0.00522189495873992	RRR
G238	R	R	S	R	S	1	-3.36132878839724	-5.03809303554695	0.153511250203311	-0.102852180861696	0.0938653066936781	RRR
G242	R	R	S	R	S	1	0.526901239064806	-0.424397130914678	-4.98020162122503	0.29622475242946	-0.908911959271693	RRR
G244	R	S	R	S	S	1	-3.31375120395624	-4.64088695939207	-0.0355444468013037	1.39492515313219	-0.12733549563546	RSS
G250	R	R	R	R	R	1	0.702490041530995	-0.38400264984613	-4.16551787585448	0.0295959079431911	-1.64745926353442	RRR
G257	S	S	S	S	S	1	-3.07575735232712	-0.794434064782773	0.114153536653393	-0.949276732961349	0.264715910506054	SSS
G268	R	R	S	R	S	1	-3.12252197150411	-0.129428426039313	-0.122268394268168	0.820812917203388	0.0367853814062507	RRR
G311	R	R	S	S	S	3	6.35831480361678	-2.7149939111665	0.242176835604765	-0.204618926308719	-0.224543147757442	RRS
G317	R	R	R	R	S	1	-3.23670477721853	-0.361852888150338	-0.0480868916699525	-1.1439719338185	0.41420125603555	RRR
G321	R	R	S	R	S	1	-3.2948800786656	-4.53650102793535	-0.268362302139035	1.37465562244083	0.572769841347903	RRR
G325	R	R	S	R	R	2	-2.83325528054602	3.76786769636254	-0.0578614568751421	0.184353988834961	0.200149336510276	RRR
G335	S	S	S	S	S	1	-3.17202991103096	-0.306562944466265	-0.311166562900733	0.791122080606879	0.256740744974287	SSS
G339	R	R	S	R	S	1	-3.1637906008552	-0.330730300782747	-0.0374994113687633	-0.0286695622444824	-0.27025592574314	RRR
G348	R	R	S	R	R	1	-3.04138338156807	-0.0258982015064234	-0.0453417057641736	0.494828326748528	-0.425655539170174	RRR
G351	R	R	S	R	S	3	6.65918914060649	1.81001170822955	0.202792173459447	0.358386685469108	-0.47465033782937	RRR
G352	R	R	S	R	S	1	-3.05518423801438	-0.292338030689955	-0.0577542870484241	0.524225220426006	-0.0352215022286508	RRR
G362	S	S	S	S	S	2	-2.77473793353893	3.90317255493892	0.21375181781471	0.219820469475648	-0.390367150338069	SSS
G363	R	R	S	R	S	1	-3.05704188249231	-0.481300256394638	0.261954841299228	-0.969140861558184	-0.291381358050698	RRR
G365	R	R	S	R	S	2	1.50076611261171	2.10881858358473	2.36734826760708	0.93806272213234	-1.71666448030961	RRR
G369	R	R	S	R	S	1	-3.14877205938782	-0.559197891673909	0.123265456043145	-0.436881035924309	-0.480935494444373	RRR
G375	R	R	S	R	S	1	-3.13429819945306	-0.115698667695982	-0.0512012045232757	0.47917738895019	-0.4131436141831	RRR
G376	S	S	S	S	S	1	-2.98463938313326	-0.599600880279016	0.289492725504606	-0.726231508337574	0.199306531443221	SSS
G379	R	R	S	R	S	1	-3.1794461327076	-0.149918883128421	-0.079207914429569	0.567642939343321	-0.200072285643094	RRR
G382	S	S	S	R	S	1	-3.10492743328729	-0.323984887993755	-0.0503532594804777	0.611471867454796	-0.222250187412059	SSR
G386	S	S	R	R	R	2	-2.70226958782455	3.86704073108899	-0.0635306999041335	0.154122808632731	-0.0226481852794311	SSR
G387	R	R	S	R	S	1	-3.02427383558615	0.186860315903053	0.135523587742288	0.577575458517947	-0.312697444229813	RRR
G395	S	S	S	S	S	1	-3.30328650481531	-4.85205551441793	0.0669143680475462	-0.268379456043011	-0.386541276293033	SSS
G398	R	R	S	R	S	1	-3.0535032909728	-0.194027240213112	0.163237797075909	-0.890771457710424	-0.106935033877635	RRR
G432	R	R	S	R	S	1	-3.10304338502812	-0.249667176817623	-0.218360005107881	0.574949120175413	-0.0322836044399784	RRR
G434	S	S	S	S	S	2	-2.77456671455646	3.8146370016537	0.165900905972741	0.189185456659842	-0.0937207291377331	SSS
G448	R	R	S	R	S	2	-2.73817063614176	3.83141175738632	0.122569705878189	0.181242632803865	-0.196808487679627	RRR
I004	R	R	S	S	S	3	6.59352654906186	1.54972082473435	0.271605408026157	-0.719538793941431	0.148736252554953	RRS
I007	R	R	R	R	S	1	-3.16504896904688	0.095567960228729	-0.111316197599344	-0.873567191391411	0.183474187417768	RRR
J005	R	R	S	R	S	1	-3.05445213717256	-0.288342830565186	0.0181360959681955	0.728617362686069	-0.475097247714846	RRR
J015	S	S	R	S	R	1	-3.30338053083471	-4.90314012083431	0.0567223669494155	-0.149593964607511	-0.116447145542349	SSS
J018	R	R	S	R	S	2	-2.78666717070512	3.93263911285157	0.115815299774619	0.21736415539927	-0.0104262057770859	RRR
J025	S	S	S	S	S	3	6.52767084382932	1.82646962693797	-0.00473923147106799	0.411883252321526	-0.0672636967727674	SSS
J029	R	R	S	R	S	1	-2.96478291177231	0.330789080770243	0.0711396249556208	0.346330140375243	-0.0153518578194864	RRR
J051	R	R	S	R	S	2	-2.78537878406364	3.68743479215466	-0.0267893862696359	0.175406678505666	0.366593754496555	RRR
J052	R	R	S	R	S	2	-2.69087821129739	3.78279912378001	0.213609551639988	0.191197425577233	0.0679329287122327	RRR
J054	R	R	S	R	R	3	6.52879707075782	1.81134307717802	-0.042192581164638	0.378079603509551	-0.0522452201910522	RRR
J065	R	R	S	R	S	2	-2.73528877421122	3.74016844059329	-0.176621430499397	0.311291142889202	0.59791654445014	RRR
J073	R	R	S	R	S	1	-3.17998590176573	-0.389611132533468	-0.279741770895236	0.546125829539729	0.640250669953546	RRR
